Documento 0
	 Palabra 	 Indice 	 TF 	 IDF 	 TF-IDF
	 note 	 [3] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 accent 	 [4] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 sunnier 	 [5] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 flavors 	 [6] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 preserve 	 [7] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 peach 	 [8] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 brisk 	 [9] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 off-dry 	 [10] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 wine 	 [11] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 fruity 	 [12] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 fresh 	 [13] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 elegant 	 [14] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 sprightly 	 [15] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 footprint 	 [16] 	 0.058823529411764705 	 1.0 	 0.058823529411764705


Documento 9
	 Palabra 	 Indice 	 TF 	 IDF 	 TF-IDF
	 great 	 [0] 	 0.0625 	 1.0 	 0.0625
	 depth 	 [1] 	 0.0625 	 1.0 	 0.0625
	 flavor 	 [2] 	 0.0625 	 1.0 	 0.0625
	 fresh 	 [3] 	 0.0625 	 1.0 	 0.0625
	 apple 	 [4] 	 0.0625 	 1.0 	 0.0625
	 pear 	 [5] 	 0.0625 	 1.0 	 0.0625
	 fruits 	 [6] 	 0.0625 	 1.0 	 0.0625
	 touch 	 [7] 	 0.0625 	 1.0 	 0.0625
	 spice 	 [8] 	 0.0625 	 1.0 	 0.0625
	 dry 	 [9] 	 0.0625 	 1.0 	 0.0625
	 balance 	 [10] 	 0.0625 	 1.0 	 0.0625
	 acidity 	 [11] 	 0.0625 	 1.0 	 0.0625
	 a 	 [12] 	 0.0625 	 1.0 	 0.0625
	 crisp 	 [13] 	 0.0625 	 1.0 	 0.0625
	 texture 	 [14] 	 0.0625 	 1.0 	 0.0625
	 drink 	 [15] 	 0.0625 	 1.0 	 0.0625


Similaridad entre filas
Documento 	 Documento 	 Similaridad
0		1		0.053041327630232865
0		2		0.05311286530553887
0		3		0.11192265236202734
0		4		0.0
0		5		0.14301206302591288
0		6		0.21506668933791467
0		7		0.1262636150087334
0		8		0.127189921637617
0		9		0.10934749817122129
1		2		0.11780573126765634
1		3		0.07236105780148908
1		4		0.13772689392002999
1		5		0.09335200560186735
1		6		0.27116307227332015
1		7		0.280056016805602
1		8		0.11764705882352944
1		9		0.18190171877724973
2		3		0.1036648952775575
2		4		0.053691000084080676
2		5		0.15881616672864807
2		6		0.054305758837302785
2		7		0.14021686638668665
2		8		0.1412455381287898
2		9		0.12143136832991902
3		4		0.1034647040182945
3		5		0.13956440169179363
3		6		0.16215918104271562
3		7		0.08612688588383106
3		8		0.05176263455699211
3		9		0.07458807112424107
4		5		0.10928519506837865
4		6		0.0775439383167036
4		7		0.1639277926025679
4		8		0.05361868371950923
4		9		0.08669675865959997
5		6		0.17213259316477406
5		7		0.1111111111111111
5		8		0.09335200560186735
5		9		0.14433756729740646
6		7		0.19364916731037074
6		8		0.10846522890932805
6		9		0.2236067977499789
7		8		0.0700140042014005
7		9		0.43301270189221924
8		9		0.06063390625908325
