Documento 0
	 Palabra 	 Indice 	 TF 	 IDF 	 TF-IDF
	 sauvignon		[4]		1.0	0.69897	0.69897
	 pair		[30]		1.0	0.69897	0.69897
	 aromas		[7]		1.0	0.60206	0.60206
	 palate		[20]		1.0	0.60206	0.60206
	 flavor		[27]		1.0	0.60206	0.60206
	 fruit		[10]		1.0	0.30103	0.30103
	 wine		[18]		1.0	0.25964	0.25964
	 a		[12, 21]		1.30103	0.1549	0.20153


Documento 19
	 Palabra 	 Indice 	 TF 	 IDF 	 TF-IDF
	 fruity		[1]		1.0	1.30103	1.30103
	 generous		[3]		1.0	1.30103	1.30103
	 full		[6]		1.0	1.30103	1.30103
	 red-cherry		[8]		1.0	1.30103	1.30103
	 fruits		[9]		1.0	1.30103	1.30103
	 gentle		[10]		1.0	1.30103	1.30103
	 richness		[12]		1.0	1.30103	1.30103
	 ready-to-drink		[18]		1.0	1.30103	1.30103
	 character		[16]		1.0	1.0	1.0
	 soft		[0]		1.0	0.82391	0.82391
	 juicy		[7]		1.0	0.82391	0.82391
	 give		[13]		1.0	0.82391	0.82391
	 open		[17]		1.0	0.82391	0.82391
	 ripe		[4]		1.0	0.69897	0.69897
	 tannins		[11]		1.0	0.69897	0.69897
	 sweet		[15]		1.0	0.69897	0.69897
	 wine		[5, 19]		1.30103	0.25964	0.3378
	 a		[2, 14]		1.30103	0.1549	0.20153


Similaridad entre filas
Documento 	 Documento 	 Similaridad
[0]		[1]		0.49260855601418874
[0]		[2]		0.46898253500102305
[0]		[3]		0.6376078493443074
[0]		[4]		0.4943936477803794
[0]		[5]		0.4591122679161215
[0]		[6]		0.3481891720364379
[0]		[7]		0.4959249161949756
[0]		[8]		0.6068348774556077
[0]		[9]		0.4801495571437615
[0]		[10]		0.5238819386584207
[0]		[11]		0.5654442414028036
[0]		[12]		0.7172423432929554
[0]		[13]		0.40546975094303495
[0]		[14]		0.5826478362534997
[0]		[15]		0.39057504966880885
[0]		[16]		0.501709751320162
[0]		[17]		0.6912376697599141
[0]		[18]		0.3667281099615536
[0]		[19]		0.5391167643958886
[1]		[2]		0.3563703198797553
[1]		[3]		0.4845052774261156
[1]		[4]		0.375679709278787
[1]		[5]		0.3488701040383757
[1]		[6]		0.2645818924088971
[1]		[7]		0.37684328910107223
[1]		[8]		0.4611215199998339
[1]		[9]		0.36485591359830033
[1]		[10]		0.3980872636515568
[1]		[11]		0.4296696148449177
[1]		[12]		0.533108518273363
[1]		[13]		0.3081082429750158
[1]		[14]		0.4427422777747022
[1]		[15]		0.29679006146192854
[1]		[16]		0.3812390680270612
[1]		[17]		0.5145613834371766
[1]		[18]		0.27866925546728905
[1]		[19]		0.4096638988483492
[2]		[3]		0.4612678981201635
[2]		[4]		0.35766171791977186
[2]		[5]		0.3321379293567842
[2]		[6]		0.2518922684195491
[2]		[7]		0.3587694912380973
[2]		[8]		0.4390056501308884
[2]		[9]		0.34735704278858803
[2]		[10]		0.37899458257389723
[2]		[11]		0.40906221120746966
[2]		[12]		0.507540076756766
[2]		[13]		0.29333104973713064
[2]		[14]		0.42150789556510726
[2]		[15]		0.2825557000344014
[2]		[16]		0.36295444401418153
[2]		[17]		0.4898824818849669
[2]		[18]		0.26530398682748946
[2]		[19]		0.39001599025163436
[3]		[4]		0.48626100491166174
[3]		[5]		0.45155999428078636
[3]		[6]		0.34246155356957453
[3]		[7]		0.48776708437165056
[3]		[8]		0.5968526065247708
[3]		[9]		0.4722512257445728
[3]		[10]		0.5152642213159578
[3]		[11]		0.5561428353306432
[3]		[12]		0.6900289726060275
[3]		[13]		0.3987998823205472
[3]		[14]		0.5730634356614723
[3]		[15]		0.3841501948862912
[3]		[16]		0.4934567605109991
[3]		[17]		0.6660224899535843
[3]		[18]		0.3606955309394987
[3]		[19]		0.5302484382572848
[4]		[5]		0.35013432314822623
[4]		[6]		0.2655406718532572
[4]		[7]		0.37820887612611603
[4]		[8]		0.4627925105226646
[4]		[9]		0.3661780613345884
[4]		[10]		0.3995298335945549
[4]		[11]		0.43122663142994816
[4]		[12]		0.5350403719020451
[4]		[13]		0.3092247511657797
[4]		[14]		0.4443466664621317
[4]		[15]		0.2978655553577099
[4]		[16]		0.38262058426947443
[4]		[17]		0.5164260268290931
[4]		[18]		0.2796790840367523
[4]		[19]		0.41114841965865906
[5]		[6]		0.24659091116129372
[5]		[7]		0.3512187821260265
[5]		[8]		0.42976628044185866
[5]		[9]		0.3400465215425516
[5]		[10]		0.37101821357387244
[5]		[11]		0.4004530350065918
[5]		[12]		0.4968583226614459
[5]		[13]		0.2871575665280091
[5]		[14]		0.4126367858816446
[5]		[15]		0.27660899622869395
[5]		[16]		0.3553156578447474
[5]		[17]		0.47957235181496627
[5]		[18]		0.2597203648090899
[5]		[19]		0.3818076632802309
[6]		[7]		0.26636312182894967
[6]		[8]		0.3259332756134697
[6]		[9]		0.257890117655064
[6]		[10]		0.281378942847867
[6]		[11]		0.30370221064077074
[6]		[12]		0.3768156507168502
[6]		[13]		0.21777931525814256
[6]		[14]		0.31294232558855495
[6]		[15]		0.2097793156603149
